date,open_time,open_price,ma200,deviation,up_target,sl_level,bounce_50,sl_hit,outcome,exit_time,exit_price,max_up_pts,max_dn_pts,session_high,session_low
2026-04-23,2026-04-23 09:30:00-04:00,49403.0,49398.44,-0.0092,49453.0,49373.0,True,False,win,2026-04-23 09:30:00-04:00,49453.0,141.0,5.0,49703.0,49390.0
2026-04-24,2026-04-24 09:30:00-04:00,49285.0,49400.38,0.2336,49335.0,49255.0,True,False,win,2026-04-24 09:30:00-04:00,49335.0,232.0,10.0,49517.0,49243.0
2026-04-27,2026-04-27 09:30:00-04:00,49467.0,49323.41,-0.2911,49517.0,49437.0,True,False,win,2026-04-27 09:30:00-04:00,49517.0,55.0,163.0,49522.0,49224.0
2026-04-28,2026-04-28 09:30:00-04:00,49467.0,49404.78,-0.1259,49517.0,49437.0,True,False,win,2026-04-28 09:30:00-04:00,49517.0,81.0,61.0,49548.0,49237.0
2026-04-29,2026-04-29 09:30:00-04:00,49155.0,49349.66,0.3945,49205.0,49125.0,True,False,win,2026-04-29 09:30:00-04:00,49205.0,144.0,29.0,49299.0,48996.0
2026-04-30,2026-04-30 09:30:00-04:00,49317.0,48907.8,-0.8367,49367.0,49287.0,False,True,loss,2026-04-30 09:30:00-04:00,49287.0,18.0,133.0,49643.0,49184.0
2026-05-01,2026-05-01 09:30:00-04:00,49962.0,49919.51,-0.0851,50012.0,49932.0,True,False,win,2026-05-01 09:30:00-04:00,50012.0,70.0,95.0,50138.0,49867.0
2026-05-04,2026-05-04 09:30:00-04:00,49440.0,49652.12,0.4272,49490.0,49410.0,True,False,win,2026-05-04 09:30:00-04:00,49490.0,63.0,54.0,49562.0,49346.0
2026-05-05,2026-05-05 09:30:00-04:00,49287.0,49152.64,-0.2734,49337.0,49257.0,True,False,win,2026-05-05 09:30:00-04:00,49337.0,51.0,63.0,49403.0,49123.0
2026-05-06,2026-05-06 09:30:00-04:00,49870.0,49597.32,-0.5498,49920.0,49840.0,False,True,loss,2026-05-06 09:30:00-04:00,49840.0,40.0,64.0,50091.0,49806.0
2026-05-07,2026-05-07 09:30:00-04:00,50113.0,50079.07,-0.0678,50163.0,50083.0,True,False,win,2026-05-07 09:30:00-04:00,50163.0,125.0,10.0,50238.0,49820.0
2026-05-08,2026-05-08 09:30:00-04:00,49838.0,49771.42,-0.1338,49888.0,49808.0,True,False,win,2026-05-08 09:30:00-04:00,49888.0,111.0,34.0,49949.0,49726.0
2026-05-11,2026-05-11 09:30:00-04:00,49634.0,49616.16,-0.0359,49684.0,49604.0,True,False,win,2026-05-11 09:30:00-04:00,49684.0,112.0,14.0,49813.0,49562.0
2026-05-12,2026-05-12 09:30:00-04:00,49607.0,49770.07,0.3276,49657.0,49577.0,True,False,win,2026-05-12 09:30:00-04:00,49657.0,181.0,1.0,49788.0,49397.0
2026-05-13,2026-05-13 09:30:00-04:00,49604.0,49815.64,0.4248,49654.0,49574.0,True,False,win,2026-05-13 09:30:00-04:00,49654.0,100.0,2.0,49767.0,49534.0
2026-05-14,2026-05-14 09:30:00-04:00,50075.0,49973.24,-0.2036,50125.0,50045.0,True,False,win,2026-05-14 09:30:00-04:00,50125.0,178.0,10.0,50253.0,49954.0
2026-05-15,2026-05-15 09:30:00-04:00,49752.0,49971.84,0.4399,49802.0,49722.0,True,False,win,2026-05-15 09:30:00-04:00,49802.0,99.0,32.0,49851.0,49611.0
2026-05-18,2026-05-18 09:30:00-04:00,49562.0,49339.9,-0.4502,49612.0,49532.0,True,False,win,2026-05-18 09:30:00-04:00,49612.0,113.0,13.0,49845.0,49525.0
2026-05-19,2026-05-19 09:30:00-04:00,49425.0,49719.42,0.5922,49475.0,49395.0,True,False,win,2026-05-19 09:30:00-04:00,49475.0,177.0,101.0,49687.0,49324.0
