date,open_time,open_price,ma200,deviation,up_target,sl_level,bounce_50,sl_hit,outcome,exit_time,exit_price,max_up_pts,max_dn_pts,session_high,session_low
2026-04-09,2026-04-09 09:30:00-04:00,25028.0,25020.1,-0.0316,25078.0,24998.0,True,False,win,2026-04-09 09:30:00-04:00,25078.0,75.5,9.0,25111.5,24960.5
2026-04-10,2026-04-10 09:30:00-04:00,25336.0,25257.6,-0.3104,25386.0,25306.0,False,True,loss,2026-04-10 09:35:00-04:00,25306.0,33.25,34.25,25373.75,25268.0
2026-04-13,2026-04-13 09:30:00-04:00,25221.0,25094.5,-0.5041,25271.0,25191.0,False,True,loss,2026-04-13 09:35:00-04:00,25191.0,17.25,47.0,25360.75,25160.0
2026-04-14,2026-04-14 09:30:00-04:00,25718.5,25609.34,-0.4263,25768.5,25688.5,False,True,loss,2026-04-14 09:30:00-04:00,25688.5,9.0,62.5,25820.25,25656.0
2026-04-15,2026-04-15 09:30:00-04:00,26019.5,26000.87,-0.0717,26069.5,25989.5,False,True,loss,2026-04-15 09:40:00-04:00,25989.5,40.25,37.25,26179.5,25982.25
2026-04-16,2026-04-16 09:30:00-04:00,26394.0,26426.01,0.1211,26444.0,26364.0,True,False,win,2026-04-16 09:30:00-04:00,26444.0,59.25,26.25,26453.25,26275.5
2026-04-17,2026-04-17 09:30:00-04:00,26672.0,26503.4,-0.6362,26722.0,26642.0,False,True,loss,2026-04-17 09:30:00-04:00,26642.0,48.25,42.5,26855.75,26629.5
2026-04-20,2026-04-20 09:30:00-04:00,26812.25,26723.42,-0.3324,26862.25,26782.25,False,True,loss,2026-04-20 09:30:00-04:00,26782.25,15.5,64.25,26827.75,26595.5
2026-04-21,2026-04-21 09:30:00-04:00,26759.0,26821.09,0.2315,26809.0,26729.0,True,False,win,2026-04-21 09:30:00-04:00,26809.0,67.5,21.25,26885.25,26671.0
2026-04-22,2026-04-22 09:30:00-04:00,26824.75,26808.3,-0.0614,26874.75,26794.75,True,False,win,2026-04-22 09:30:00-04:00,26874.75,68.0,11.25,27006.25,26811.5
2026-04-23,2026-04-23 09:30:00-04:00,27004.25,26998.9,-0.0198,27054.25,26974.25,False,True,loss,2026-04-23 09:30:00-04:00,26974.25,13.0,39.25,27113.75,26965.0
2026-04-24,2026-04-24 09:30:00-04:00,27220.75,27104.08,-0.4305,27270.75,27190.75,False,True,loss,2026-04-24 09:30:00-04:00,27190.75,24.5,44.5,27305.0,27130.25
2026-04-27,2026-04-27 09:30:00-04:00,27369.0,27453.0,0.306,27419.0,27339.0,True,False,win,2026-04-27 09:30:00-04:00,27419.0,66.0,6.75,27435.0,27298.5
2026-04-28,2026-04-28 09:30:00-04:00,27139.5,27356.72,0.794,27189.5,27109.5,False,True,loss,2026-04-28 09:30:00-04:00,27109.5,23.0,71.25,27252.0,27012.5
2026-04-29,2026-04-29 09:30:00-04:00,27147.0,27251.53,0.3836,27197.0,27117.0,True,False,win,2026-04-29 09:30:00-04:00,27197.0,71.0,14.75,27315.5,27124.25
2026-04-30,2026-04-30 09:30:00-04:00,27345.25,27407.74,0.228,27395.25,27315.25,True,False,win,2026-04-30 09:30:00-04:00,27395.25,146.25,4.0,27491.5,27163.25
2026-05-01,2026-05-01 09:30:00-04:00,27736.25,27604.92,-0.4757,27786.25,27706.25,False,True,loss,2026-05-01 09:30:00-04:00,27706.25,12.0,118.5,27909.25,27617.75
2026-05-04,2026-05-04 09:30:00-04:00,27827.25,27862.9,0.1279,27877.25,27797.25,True,False,win,2026-05-04 09:40:00-04:00,27877.25,60.75,19.0,27941.0,27808.25
2026-05-05,2026-05-05 09:30:00-04:00,28025.25,27855.67,-0.6088,28075.25,27995.25,False,True,loss,2026-05-05 09:30:00-04:00,27995.25,6.0,54.25,28139.25,27971.0
2026-05-06,2026-05-06 09:30:00-04:00,28443.5,28362.85,-0.2843,28493.5,28413.5,False,True,loss,2026-05-06 09:30:00-04:00,28413.5,3.5,107.5,28552.0,28336.0
2026-05-07,2026-05-07 09:30:00-04:00,28760.75,28713.95,-0.163,28810.75,28730.75,False,True,loss,2026-05-07 09:30:00-04:00,28730.75,8.75,40.0,28944.75,28708.0
2026-05-08,2026-05-08 09:30:00-04:00,28963.0,28788.72,-0.6054,29013.0,28933.0,False,True,loss,2026-05-08 09:30:00-04:00,28933.0,7.0,103.5,29184.0,28859.5
2026-05-11,2026-05-11 09:30:00-04:00,29426.75,29322.57,-0.3553,29476.75,29396.75,False,True,loss,2026-05-11 09:30:00-04:00,29396.75,8.0,145.25,29434.75,29246.75
2026-05-12,2026-05-12 09:30:00-04:00,29197.75,29292.45,0.3233,29247.75,29167.75,False,True,loss,2026-05-12 09:30:00-04:00,29167.75,29.5,52.0,29296.0,28980.0
2026-05-13,2026-05-13 09:30:00-04:00,29257.5,29267.15,0.033,29307.5,29227.5,False,True,loss,2026-05-13 09:30:00-04:00,29227.5,31.0,41.5,29349.5,29075.0
2026-05-14,2026-05-14 09:30:00-04:00,29550.0,29578.05,0.0948,29600.0,29520.0,False,True,loss,2026-05-14 09:30:00-04:00,29520.0,2.0,91.5,29730.0,29458.5
2026-05-15,2026-05-15 09:30:00-04:00,29254.0,29459.66,0.6981,29304.0,29224.0,False,True,loss,2026-05-15 09:30:00-04:00,29224.0,37.0,65.25,29382.75,29089.75
2026-05-18,2026-05-18 09:30:00-04:00,29288.25,29125.04,-0.5604,29338.25,29258.25,True,False,win,2026-05-18 09:30:00-04:00,29338.25,68.0,12.0,29356.25,28970.75
2026-05-19,2026-05-19 09:30:00-04:00,28957.75,29003.15,0.1565,29007.75,28927.75,False,True,loss,2026-05-19 09:30:00-04:00,28927.75,41.25,107.5,29068.0,28663.0
